Organization Name,Mission Statement,Website Link 
Easter Seals Central and Southeast Ohio Inc.,"Easter Seals provides exceptional services for people with disabilities or special needs and their families to live, learn, work and play in their communities.",http://www.eastersealscentralohio.org
Catholic Social Services of the Miami Valley,Catholic Social Services of the Miami Valley serves and helps empower individuals and families in need through social services based on Christian values and traditions.,http://www.cssmv.org
COMBA,Project Read/Project College is a program of the Central Ohio Minority Business Association. We provide academic and cultural enrichment activities to Central Ohio youth.,http://www.projectread.info
Toledo Symphony Orchestra,The Toledo Symphony exists to sustain a working community of musical artists in our area who perpetuate the experience of superb musical performances and continuous musical education for all people.,http://www.toledosymphony.com
Visiting Nurse Service,To improve the health and lives of our patients and community.,n/a
Meals on Wheels-Older Adult Alternatives,To enable independent living and improve the quality of life of older adults in Fairfield County.,http://www.alternativesforolderadults.org
All Aboard Ohio,"All Aboard Ohio is a non-profit, member-based organization dedicated to promoting passenger and freight rail service throughout the state. We regard railroads as vital to the economic health of Ohio because they can move passengers and goods efficien...",http://www.allaboardohio.org
Information & Referral,"To respond to every request, to particiapate in the solution of any human problems whenever and wherever it occurs.",n/a
United States Coast Guard Auxiliary,"Since its creation by Congress in 1939, the United States Coast Guard Auxiliary has served the civilian, non-military component of the Coast Guard. Today, the 30,000 volunteer men and women of the Auxiliary are active on the waterways and classrooms ...",n/a
Toledo Museum of Art,To integrate art into the lives of people,n/a
K-9 Response Search & Rescue,...That Others May Live,http://www.k9response.org/
Club 3000,"Club 3000 is registered in Ohio as a 501(c)(3) non-profit organization dedicated to protecting future generations from landfill contamination. More information is available about Club 3000's purpose, history and mission at: http://about-club-3000.blo...",http://www.toxiclandfills.org
Veterans First Foundation,MISSION STATEMENT The mission of ?VETERANS FIRST!? is to facilitate fulfillment of the needs of the veterans of the United States armed services in their dealings with the Veterans Administration (VA) and to otherwise help meet their needs. PURPOSE S...,http://www.veteransfirst.us/
Ohio Bird Sanctuary,THe mission of the Ohio Bird Sanctuary is to preserve the biodiversity of Ohio through education rehabilitation and stewardship,http://www.ohiobirdsanctuary.com
Parent Project Muscular Dystrophy,"Our Mission: To Improve the treatment, quality of life, and long-term outlook for all individuals affected by DMD through research, education, advoacy and compassion.",http://www.parentprojectmd.org
Music Works And Arts Too,"To provide free public school Internet education K-12, to help reduce the drop out rate.",n/a
"Fairfield Center for disAbilities and Cerebral Palsy, Inc.","The Fairfield Center for disAbilities and Cerebral Palsy, Inc. is to create a better future for people with a disability by increasing and enhancing their lifestyle opportunities.",http://www.fcdcp.org
Ohio Genealogical Society Library,"The mission of the Society is to meet the educational needs of its members and the general public through the acquisition, preservation, and dissemination of genealogical and historical information.",http://www.ogs.org
Community for New Direction,"""The Mission of Community for New Direction is to provide positive relationships, promote racial/cultural understanding, enhance educational success and develop attitudes and behaviors in youth that lead to self-sufficient adulthood",http://www.cndonline.org
Highlands Nature Sanctuary,"To re-unite Ohio's fragmented Eastern deciduous forest into ONE large wilderness preserve, to heal and renew humanity's relationship with Nature, to conduct intensive nature literacy workshops and curriculums for the public.",http://www.highlandssanctuary.org
Long-Term Care Ombudsman Program,"The mission of the ombudsman program is to improve the quality of life and quality of care for consumers of long-term care including institutional, residential, and community-based services.",n/a
Youth Challenge,Youth Challenge brings together children with physical disabilities and youth volunteers who enrich each other's lives through one-on-one participation in adapted sports and recreational activities.,http://www.youthchallengesports.com
The Worm Digest,"The Worm Digest's goal is to bring people together globally by engendering communication, education, application, research and design of the ways to feed the earth with earthworms while starving the world of landfills.",http://wormdigest.org
St. Paul Lutheran Church,"As a community of Christ, we are inspired by the Gospel to demonstrate to all our neighbors-in-creation that our faith is alive through worship, the sacraments, education, fellowship, advocacy, and meaningful service to those in spiritual or physical...",n/a
Latino Empowerment Outreach Network (LEON),"To collaborate as a network of individuals, organizations and community resources to empower and enrich the Latino community.",http://www.leongroup.org
PAWS - Public Animal Welfare Society,Since 1976 PAWS Ohio has filled a vacuum with our foster based mission to rescue stray and abused animals in Northeast Ohio. PAWS Ohio brings these needy animals into private foster homes providing them with medical care and a safe environment . Once...,http://www.pawsohio.org
"CASA of Seneca, Sandusky and Wyandot Counties","We believe that children deserve a safe, permanent, supportive environment in which to live. In support of this Mission, we will: Collaborate and cooperate with agencies that provide services to at risk children and families involved in a court proce...",http://www.casa-ssw-ohio.com/
Art of Living,Founded in 1981 the nonprofit Art of Living Foundation is the largest non-governmental organization in the world with volunteers active in 146 countries offering a wide range of humanitarian and educational activities.,http://www.artoflivingaz.org/
Life Center Adult Day Care,Life Center provides quality Adult Day services in an intentionally christian environment.,n/a
"Children's Rights Council, Cleveland",To improve the lives of our children who must endure personal stresses accompanying the separation and divorce of their parents. Children need ot know that they are not the cause of their parent's break-up.,n/a
